date,author,HDS,HDS_low,HDS_high,HDS_low_2sd,HDS_high_2sd,title,Numeric score std err,Numeric score min,Numeric score max,Prediction,Probability,Prob std err,Prediction confidence,Key quote,Quote confidence,Rationale,description,cb,url,Colour,date_popup
2022-02-24,Christopher J Waller,0.975,0.933,1,1,0.9,Fighting inflation with rate hikes and balance sheet reduction,0.042,0.9,1,Raise,0.94,0.021,1,"Based on my outlook, my preference is to increase the target range 100 basis points by the middle of this year.",0.4,"The speech emphasizes a definitive and urgent need to tighten monetary policy by raising interest rates due to high inflation, reaching maximum employment, and plans for balance sheet reduction. The commitment to potentially aggressive rate hikes reflects a hawkish stance.","Speech by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the Economic Forecast Project, University of California, Santa Barbara, California, 24 February 2022.",Fed,http://www.bis.org/review/r220225b.htm,#482576FF,2022-02-24
2021-12-17,Christopher J Waller,0.83,0.727,0.933,1,0.7,A hopeless and imperative endeavor - lessons from the pandemic for economic forecasters,0.103,0.7,1,Raise,0.82,0.059,1,"With inflation exceeding the FOMC's 2 percent target for some time now, I strongly supported the Committee's decision this week to speed up the pace of the tapering of asset purchases.",0.4,"Christopher J Waller expresses concern about persistently high inflation and supports a faster tapering of asset purchases, indicating a readiness to raise rates shortly thereafter. This stance is somewhat hawkish given the context of a policy rate of 0.125%.","Speech by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the Forecasters Club of New York, New York City, 17 December 2021.",Fed,http://www.bis.org/review/r211219b.htm,#482576FF,2021-12-17
2021-11-19,Christopher J Waller,0.795,0.715,0.875,0.9,0.7,Economic outlook,0.08,0.7,0.9,Raise,0.81,0.057,1,The rapid improvement in the labor market and the deteriorating inflation data have pushed me towards favoring a faster pace of tapering and a more rapid removal of accommodation in 2022.,0.8,"Waller emphasizes the need to potentially accelerate the tapering process and indicates concern over persistent inflation, suggesting a shift towards tightening monetary policy. His speech reflects a readiness to act on rising inflation by favoring faster tapering and conditions for a rate increase.","Speech by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the Center for Financial Stability, New York, 19 November 2021.",Fed,http://www.bis.org/review/r211124a.htm,#482576FF,2021-11-19
2021-10-19,Christopher J Waller,0.685,0.638,0.732,0.75,0.6,"The economic outlook and a cautionary tale on ""idiosyncratic"" price changes and inflation",0.047,0.6,0.75,Hold,0.681,0.08,0.8,"If monthly prints of inflation continue to run high through the remainder of this year, a more aggressive policy response than just tapering may well be warranted in 2022.",0.5,"The speech indicates a readiness to taper asset purchases soon, showing concern about persistent inflation, but suggests waiting for more data before deciding on a rate hike, hence a 'hold' position is more likely in the near term.","Speech (via webcast) by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the Stanford Institute for Economic Policy Research Associates Meeting, Stanford, California, 19 October 2021.",Fed,http://www.bis.org/review/r211105e.htm,#482576FF,2021-10-19
2021-05-13,Christopher J Waller,0.265,0.224,0.306,0.3,0.2,The economic outlook and monetary policy,0.041,0.2,0.3,Hold,0.77,0.048,1,"In light of that fact, I expect the FOMC to maintain an accommodative policy for some time.",0.5,"The speech emphasizes that the pressures on inflation are temporary and that accommodative monetary policy should continue to support the economic recovery until substantial further progress is observed, indicating a somewhat dovish stance.","Remarks (via webcast) by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the Global Interdependence Center's 39th Annual Monetary and Trade Conference, The LeBow College of Business, Drexel University, Philadelphia, Pennsylvania, 13 May 2021.",Fed,http://www.bis.org/review/r210517b.htm,#482576FF,2021-05-13
2021-03-29,Christopher J Waller,0.48,0.417,0.543,0.5,0.3,Treasury-Federal Reserve cooperation and the importance of central bank independence,0.063,0.3,0.5,Hold,0.765,0.082,1,My colleagues and I will continue to act solely to fulfill our congressionally mandated goals of maximum employment and price stability.,0.5,"Christopher J. Waller's speech emphasizes the independence of the Federal Reserve from fiscal pressures. He argues for the separation of fiscal and monetary policy decisions while highlighting cooperation in operational areas. His commitment to maintaining stable prices and maximizing employment implies a steady approach to current monetary policy, suggesting a 'Hold' on interest rates.","Remarks (via webcast) by Mr Christopher J Waller, Member of the Board of Governors of the Federal Reserve System, at the Peterson Institute for International Economics, Washington DC, 29 March 2021.",Fed,http://www.bis.org/review/r210330a.htm,#482576FF,2021-03-29
2024-09-06,John C Williams,0.23,0.138,0.322,0.3,0,'E' is for equipoise,0.092,0,0.3,Cut,0.755,0.072,1,"With the economy now in equipoise and inflation on a path to 2 percent, it is now appropriate to dial down the degree of restrictiveness in the stance of policy by reducing the target range for the federal funds rate.",0.8,"John C. Williams discusses the economy being in balance, with reduced inflationary pressures, and suggests a move towards reducing rates to adjust policy to the current economic conditions.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Council on Foreign Relations, New York City, 6 September 2024.",Fed,https://www.bis.org/review/r240909b.htm,#414487FF,2024-09-06
2024-07-05,John C Williams,0.67,0.578,0.762,0.75,0.5,Managing the known unknowns,0.092,0.5,0.75,Hold,0.7,0.071,0.5,"Inflation is now around 2-1/2 percent, so we have seen significant progress in bringing it down. But we still have a way to go to reach our 2 percent target on a sustained basis. We are committed to getting the job done.",0.7,"John C. Williams highlights that inflation has been brought down significantly and while progress is apparent, the target of 2 percent inflation has not yet been reached, implying continued vigilance but no immediate urgency for a rate change. This suggests a neutral stance aimed at holding rates in the upcoming meeting.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Suresh Tendulkar Memorial Lecture, organised by the Reserve Bank of India, Mumbai, 5 July 2024.",Fed,https://www.bis.org/review/r240709b.htm,#414487FF,2024-07-05
2024-07-03,John C Williams,0.48,0.417,0.543,0.5,0.3,R-star - a global perspective,0.063,0.3,0.5,Hold,0.72,0.063,1,"Instead, such determinations must be, and are, based on a wide range of information and assessments, including those related to risks.",0.3,"The speech emphasizes the uncertainty and variability of r-star and its implications on monetary policy, suggesting a cautious and balanced approach. While discussions on r-star’s uncertainty could hint at a somewhat dovish stance, the assertion that policy determinations should be based on a wide range of factors supports a neutral view, leading to a prediction to hold rates.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the European Central Bank Forum on Central Banking ""Monetary policy in an era of transformation"", Sintra, 3 July 2024.",Fed,https://www.bis.org/review/r240703f.htm,#414487FF,2024-07-03
2024-05-30,John C Williams,0.655,0.586,0.724,0.7,0.5,Finding balance in the economy,0.069,0.5,0.7,Hold,0.77,0.048,1,"Inflation is still above our 2 percent longer-run target, and I am very focused on ensuring we achieve both of our dual mandate goals.",0.3,"John C Williams emphasizes that the current monetary policy is restrictive and well-positioned to maintain progress toward Fed goals, indicating no immediate change in the policy rate. This suggests a neutral stance aiming to 'Hold' rates.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Economic Club of New York, New York City, 30 May 2024.",Fed,https://www.bis.org/review/r240531b.htm,#414487FF,2024-05-30
2024-05-03,John C Williams,0.71,0.689,0.731,0.75,0.7,Connecting theory and practice,0.021,0.7,0.75,Hold,0.613,0.023,0.8,We are committed to getting the job done.,0.7,"Williams emphasizes the importance of maintaining low and stable inflation and asserts a strong commitment to achieving the 2 percent inflation target, indicating a focus on continued vigilance in monetary policy. However, he does not specify a need for immediate rate increases, suggesting a somewhat hawkish, but primarily stable outlook.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Hoover Institution Monetary Policy Conference, Stanford, California, 3 May 2024.",Fed,https://www.bis.org/review/r240506b.htm,#414487FF,2024-05-03
2024-04-11,John C Williams,0.535,0.368,0.702,0.7,0.25,Eclipse,0.167,0.25,0.7,Hold,0.75,0.062,1,"The economic projections we issued at that time indicate that if the economy proceeds as expected, it will make sense to dial back the policy restraint gradually over time, starting this year.",0.3,"John Williams acknowledges progress in achieving the dual mandate, and the fact that the Federal Reserve is not expecting to reduce rates suggests a somewhat dovish stance given the current high policy rate. He emphasizes gradual policy adjustments based on economic improvements, suggesting an orientation towards holding rates steady.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Federal Home Loan Bank of New York 2024 Member Symposium, New York City, 11 April 2024.",Fed,https://www.bis.org/review/r240415c.htm,#414487FF,2024-04-11
2024-02-28,John C Williams,0.635,0.538,0.732,0.75,0.5,There and back again,0.097,0.5,0.75,Hold,0.79,0.046,1,"At its January meeting, the FOMC kept the target range for the federal funds rate unchanged at 5-1/4 to 5-1/2 percent. In announcing that decision, the Committee said it 'does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent.'",0.2,"While John C Williams acknowledges significant progress in reducing inflation and balancing the economy, he emphasizes that inflation remains above the target and that monetary policy should remain restrictive until inflation is sustainably near the 2 percent goal. This suggests a somewhat hawkish stance, leaning towards holding rates steady to continue addressing inflation.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Long Island Association Regional Economic Briefing, Garden City, New York City, 28 February 2024.",Fed,https://www.bis.org/review/r240229g.htm,#414487FF,2024-02-28
2024-01-10,John C Williams,0.7,0.622,0.778,0.8,0.5,Rules of three,0.078,0.5,0.8,Hold,0.685,0.063,1,"I expect that we will need to maintain a restrictive stance of policy for some time to fully achieve our goals, and it will only be appropriate to dial back the degree of policy restraint when we are confident that inflation is moving toward 2 percent on a sustained basis.",0.4,"The speech recognizes significant progress towards the inflation goal and maintains a commitment to a restrictive monetary policy stance until more confidence is achieved in sustained inflation reduction. However, it balances the policy stance with the acknowledgment of risks and current progress, suggesting a 'Hold' decision in the upcoming meeting.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Bronx EDC and BICNY's 2024 Regional Economic Outlook, White Plains, New York, 10 January 2024.",Fed,https://www.bis.org/review/r240117a.htm,#414487FF,2024-01-10
2023-11-30,John C Williams,0.69,0.573,0.807,0.9,0.5,Restoring price stability,0.117,0.5,0.9,Hold,0.76,0.074,1,"In balancing these risks, and based on what I know now, my assessment is that we are at, or near, the peak level of the target range of the federal funds rate.",0.4,"John C. Williams indicates that while progress is being made towards reducing inflation, there is still uncertainty, and the current restrictive stance of monetary policy may be maintained for some time to ensure inflation continues to decrease. He does not signal an immediate need for further rate hikes, aligning more with holding rates steady.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the conference ""Exploring Innovations in Central Banking"", organised by the Bretton Woods Committee and the Federal Reserve Bank of New York, New York City, 30 November 2023.",Fed,https://www.bis.org/review/r231213f.htm,#414487FF,2023-11-30
2023-11-08,John C Williams,0.52,0.457,0.583,0.7,0.5,The dual transformation of R&S and monetary policy,0.063,0.5,0.7,Hold,0.733,0.066,0.9,"A critical component of any strategy is a focus on the future, and that is true with monetary policy.",0.5,"The speech provides a historical perspective on monetary policy transformations without explicitly conveying a current stance on interest rates. It emphasizes understanding and modeling the economy better, which suggests a focus on analysis rather than immediate policy shifts.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at ""A Look at the Past, Present, and Future"", a conference celebrating the Centennial of the Division of Research and Statistics (R&S), Board of Governors of the Federal Reserve System, Washington DC, 8 November 2023.",Fed,https://www.bis.org/review/r231115m.htm,#414487FF,2023-11-08
2023-09-29,John C Williams,0.715,0.681,0.749,0.75,0.65,"Peeling the inflation onion, revisited",0.034,0.65,0.75,Hold,0.78,0.082,1,"My current assessment is that we are at, or near, the peak level of the target range for the federal funds rate.",0.4,"John C Williams acknowledges that inflation has moderated but remains too high. He indicates that the Federal Reserve's policies are restrictive, with a need to maintain this stance to ensure inflation reaches the 2 percent target. However, he notes that the current rate is at or near its peak, suggesting no immediate increase is planned, hence predicting a hold decision in the next meeting.","Remarks (virtual) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, prepared for a regional visit to Long Island, 29 September 2023.",Fed,http://www.bis.org/review/r231002c.htm,#414487FF,2023-09-29
2023-05-19,John C Williams,0.5,0.5,0.5,0.5,0.5,"Measuring the natural rate of interest - past, present, and future",0,0.5,0.5,Hold,0.715,0.058,1,"Importantly, there is no evidence that the era of very low natural rates of interest has ended.",0.6,"The speech is mainly informative, focusing on the technical aspects of measuring the natural rate of interest. John C. Williams does not give any specific guidance on future monetary policy decisions, and the focus on the natural rate's measurement suggests there is no immediate policy action expected, reflecting a neutral stance.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Thomas Laubach Research Conference, organised by the Board of Governors of the Federal Reserve System, Washington DC, 19 May 2023.",Fed,http://www.bis.org/review/r230522e.htm,#414487FF,2023-05-19
2023-05-09,John C Williams,0.695,0.623,0.767,0.75,0.5,This is the way,0.072,0.5,0.75,Hold,0.661,0.086,0.9,"Inflation remains too high, and high inflation is hardest on those who can least afford to pay higher prices for food, shelter, and transportation.",0.2,"John C. Williams acknowledges that inflation is above target and commits to bringing it down. While the FOMC has already increased rates significantly, there is an openness to additional policy firming, showing a somewhat hawkish stance. However, there is also recognition of cumulative monetary tightening and lag effects, suggesting a likelihood to hold rates steady at the next meeting.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Economic Club of New York, New York City, 9 May 2023.",Fed,http://www.bis.org/review/r230510a.htm,#414487FF,2023-05-09
2023-04-19,John C Williams,0.755,0.619,0.891,1,0.5,Attaining and maintaining price stability,0.136,0.5,1,Raise,0.772,0.051,0.9,"Inflation is still too high, and we will use our monetary policy tools to restore price stability.",0.5,"John C. Williams acknowledges that inflation is still high and expresses confidence in maintaining a restrictive policy stance to bring inflation down to the 2 percent goal. This indicates a bias towards further tightening or maintaining a restrictive policy, reflecting a somewhat hawkish stance.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Money Marketeers of New York University, New York City, 19 April 2023.",Fed,http://www.bis.org/review/r230420c.htm,#414487FF,2023-04-19
2023-02-14,John C Williams,0.895,0.819,0.971,1,0.75,Our work Is not yet done,0.076,0.75,1,Raise,0.85,0.033,1,"Inflation is still well above our 2 percent target, and it is critically important that we reach that goal.",0.5,Williams emphasizes that inflation remains far above the Fed's target and insists on the necessity to continue monetary tightening. This suggests a strong inclination towards raising rates to curb inflation.,"Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the New York Bankers Association, New York City, 14 February 2023.",Fed,http://www.bis.org/review/r230215b.htm,#414487FF,2023-02-14
2023-01-19,John C Williams,0.855,0.723,0.987,1,0.65,Shifting gears - rebalance and realignment in the economy,0.132,0.65,1,Raise,0.845,0.037,1,"With inflation still high and indications of continued supply-demand imbalances, it is clear that monetary policy still has more work to do to bring inflation down to our 2 percent goal on a sustained basis.",0.6,"The speech indicates recognition of high inflation and commitment to further rate increases. Williams discusses the need for ongoing rate hikes to control inflation, indicating a somewhat hawkish stance.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Fixed Income Analysts Society, New York City, 19 January 2023.",Fed,http://www.bis.org/review/r230124b.htm,#414487FF,2023-01-19
2022-11-28,John C Williams,0.77,0.659,0.881,1,0.7,Peeling the inflation onion,0.111,0.7,1,Raise,0.83,0.042,1,The Federal Reserve is strongly committed to bringing inflation back down to its 2 percent longer-run goal.,0.3,"John C. Williams acknowledges the high level of inflation and emphasizes the need for continued strong Federal Reserve actions, including further rate increases, to bring inflation back to the 2% target. This points to a somewhat hawkish stance, reflecting a bias towards further tightening of monetary policy.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Economic Club of New York, New York City, 28 November 2022.",Fed,http://www.bis.org/review/r221129b.htm,#414487FF,2022-11-28
2022-11-16,John C Williams,0.56,0.463,0.657,0.7,0.5,A jack of all trades is a master of none,0.097,0.5,0.7,Hold,0.683,0.056,0.9,Restoring price stability is of paramount importance because it is the foundation of sustained economic and financial stability.,0.4,"The speech emphasizes the importance of price stability, highlighting the need for a resilient financial system to support monetary policy, but it does not advocate for immediate changes to interest rates. The balanced discussion about trade-offs and systems resilience suggests a neutral stance, likely resulting in holding rates steady.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the 2022 US Treasury Market Conference, New York City, 16 November 2022.",Fed,http://www.bis.org/review/r221117a.htm,#414487FF,2022-11-16
2022-11-09,John C Williams,0.49,0.416,0.564,0.6,0.3,A steady anchor in a stormy sea,0.074,0.3,0.6,Hold,0.715,0.034,1,The news is mostly good-longer-run inflation expectations in the United States have remained remarkably stable at levels broadly consistent with the FOMC's longer-run goal.,0.7,"John C. Williams highlights the stability of longer-run inflation expectations, aligning with the Fed's target despite recent inflationary pressures. This suggests a neutral stance where current policies are deemed effective, supporting a 'Hold' prediction with reasonable confidence.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Swiss National Bank (SNB)-Federal Reserve Board (FRB)-Bank for International Settlements (BIS) High-Level Conference on ""Global Risk, Uncertainty, and Volatility"", Zurich, 9 November 2022.",Fed,http://www.bis.org/review/r221109d.htm,#414487FF,2022-11-09
2022-10-03,John C Williams,0.91,0.836,0.984,1,0.8,A bedrock commitment to price stability,0.074,0.8,1,Raise,0.9,0.041,1,The FOMC is taking strong actions toward that end.,0.4,"John C. Williams emphasizes the importance of taking strong actions to restore price stability, including ongoing increases in the federal funds rate to combat persistently high inflation, indicating a hawkish stance.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the2022 US Hispanic Chamber of Commerce National Conference, Phoenix, Arizona, 3 October 2022.",Fed,http://www.bis.org/review/r221004b.htm,#414487FF,2022-10-03
2022-07-08,John C Williams,0.95,0.897,1,1,0.9,Price stability - the foundation for a strong economy,0.053,0.9,1,Raise,0.9,0.041,1,The Committee is strongly committed to returning inflation to its 2 percent objective.,0.4,"The speech emphasizes a strong commitment to fighting inflation, acknowledging high inflation as the number one danger to economic stability. It supports ongoing interest rate increases, indicating a hawkish stance.","Remarks by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the University of Puerto Rico – Mayagüez, Mayagüez, Puerto Rico, 8 July 2022.",Fed,http://www.bis.org/review/r220831e.htm,#414487FF,2022-07-08
2022-03-25,John C Williams,0.51,0.478,0.542,0.6,0.5,"Global issues, global implications",0.032,0.5,0.6,Hold,0.7,0,0.9,"Across the globe, many central banks-including the Federal Reserve-are moving to unwind the highly accommodative policies they put in place at the start of the pandemic.",0.8,"John C. Williams discusses the interconnectedness of global economies and the importance of clarity in communication among central banks. While he acknowledges the Fed's intent to unwind accommodative policies, he focuses on dialogue and cooperation without emphasizing immediate action like raising rates. This tone suggests a neutral stance with a likelihood of holding rates steady at the next meeting.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Central Reserve Bank of Peru (BCRP) Centenary Conference, 25 March 2022.",Fed,http://www.bis.org/review/r220325b.htm,#414487FF,2022-03-25
2022-02-18,John C Williams,0.765,0.654,0.876,1,0.7,Restoring balance,0.111,0.7,1,Raise,0.88,0.042,1,I expect it will be appropriate to raise the target range at our upcoming meeting in March.,0.4,"John C Williams expresses a clear intention to begin raising interest rates, reflecting a response to strong economic conditions and inflation above target. His mention of starting rate increases at the upcoming March meeting indicates a somewhat hawkish stance.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at New Jersey City University, 18 February 2022.",Fed,http://www.bis.org/review/r220223c.htm,#414487FF,2022-02-18
2022-01-14,John C Williams,0.71,0.689,0.731,0.75,0.7,Reading the recovery,0.021,0.7,0.75,Raise,0.795,0.037,1,The next step in reducing monetary accommodation to the economy will be to gradually bring the target range for the federal funds rate from its current very-low level back to more normal levels.,0.6,"John C Williams addresses the sharp rise in inflation, strong labor market, and discusses the need to adjust monetary policy, indicating a likelihood of a rate increase.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Council on Foreign Relations, 14 January 2022.",Fed,http://www.bis.org/review/r220117a.htm,#414487FF,2022-01-14
2021-09-27,John C Williams,0.49,0.38,0.6,0.6,0.3,Business more like usual,0.11,0.3,0.6,Hold,0.71,0.057,1,"Assuming the economy continues to improve as I anticipate, a moderation in the pace of asset purchases may soon be warranted.",0.6,"The speaker indicates that despite some signs of inflation, expectations are well anchored, and it's anticipated to decline which suggests a continued accommodative stance. The mention of substantial progress towards inflation goals but a long way to maximum employment indicates a preference to maintain current policy, likely suggesting a hold on rate changes.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Economic Club of New York, 27 September 2021.",Fed,http://www.bis.org/review/r210928e.htm,#414487FF,2021-09-27
2021-09-08,John C Williams,0.385,0.274,0.496,0.6,0.3,Ever upward,0.111,0.3,0.6,Hold,0.7,0.041,1,"Assuming the economy continues to improve as I anticipate, it could be appropriate to start reducing the pace of asset purchases this year.",0.7,"Williams acknowledges that substantial progress has been made toward the inflation goal and that it may soon be time to reduce asset purchases, which is an indication of a shift towards tightening monetary policy. However, he also notes the need for further improvement towards maximum employment, suggesting a balanced approach.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at St. Lawrence University, 8 September 2021.",Fed,http://www.bis.org/review/r210910e.htm,#414487FF,2021-09-08
2021-07-12,John C Williams,0.385,0.26,0.51,0.5,0.2,The theory of average inflation targeting,0.125,0.2,0.5,Hold,0.7,0.047,1,"Importantly, the versions of AIT that I described represent an evolution of inflation targeting, rather than a revolution.",0.3,"The speech is primarily an academic discussion of average inflation targeting (AIT) strategies without making any commitments to immediate policy changes. The emphasis on AIT as an evolution rather than a revolution suggests a balanced approach to policy, anticipating holding the current rate given prevailing low neutral rates and acknowledging the lower bound constraints.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Bank of Israel/CEPR Conference on ""Inflation: Dynamics, Expectations, and Targeting"", 12 July 2021.",Fed,http://www.bis.org/review/r210712d.htm,#414487FF,2021-07-12
2021-06-21,John C Williams,0.425,0.277,0.573,0.6,0.2,Good day sunshine,0.148,0.2,0.6,Hold,0.8,0.053,1,The data and conditions have not progressed enough for the FOMC to shift its monetary policy stance of strong support for the economic recovery.,0.4,"Williams expresses optimism about the economy's recovery but emphasizes the need to maintain supportive monetary policy conditions. The outlook on inflation suggests that he sees current spikes as temporary, which aligns with a somewhat dovish stance, indicating no immediate rate hikes.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Midsize Bank Coalition of America, 21 June 2021.",Fed,http://www.bis.org/review/r210622c.htm,#414487FF,2021-06-21
2021-05-04,John C Williams,0.27,0.235,0.305,0.3,0.2,The economic recovery - are we there yet?,0.035,0.2,0.3,Hold,0.835,0.047,1,"Although we still have a long road ahead of us to achieve a robust and full recovery, with strong support from monetary policy, I am confident we will reach our destination.",0.2,"John C. Williams emphasizes the need for continued strong monetary support due to the economic recovery not yet reaching maximum employment and stable inflation goals. His remarks support the continuation of low interest rates, suggesting dovish leanings with a likely decision to hold rates steady.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Women in Housing and Finance 2021 Annual Symposium, 4 May 2021.",Fed,http://www.bis.org/review/r210504b.htm,#414487FF,2021-05-04
2021-02-25,John C Williams,0.275,0.183,0.367,0.5,0.2,"The economic outlook- getting back to ""more like normal""",0.092,0.2,0.5,Hold,0.82,0.042,1,"Despite uncertainties, we are fully committed to supporting the economy through this period and reaching our maximum employment and price stability goals.",0.4,Williams highlights the Fed's commitment to maintaining low interest rates until economic recovery is more certain with maximum employment and inflation targets being met. This suggests a focus on economic support and a dovish stance.,"Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at One Hundred Black Men of New York, 25 February 2021.",Fed,http://www.bis.org/review/r210304a.htm,#414487FF,2021-02-25
2020-10-07,John C Williams,0.205,0.141,0.269,0.3,0.1,The longer-run framework - a look ahead,0.064,0.1,0.3,Hold,0.805,0.072,1,"In terms of monetary policy, the appropriate focus right now is on getting the country back to work. For that reason, policy is supporting very low interest rates to provide stimulus to the economic recovery and keeping inflation expectations anchored at 2 percent.",0.5,"Williams emphasizes the need for lower interest rates to aid economic recovery following the pandemic without mentioning any immediate tightening. The intent to address employment shortfalls and allow for periods of inflation running above 2% indicates a dovish stance, but acknowledging the trappings of the lower bound suggests a neutral bias towards holding rates as the situation unfolds.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Hoover Institution Monetary Policy Virtual Series: The Road Ahead for Central Banks, 7 October 2020.",Fed,https://www.bis.org/review/r201008f.htm,#414487FF,2020-10-07
2020-09-29,John C Williams,0.435,0.329,0.541,0.5,0.25,A solution to every puzzle,0.106,0.25,0.5,Hold,0.75,0.082,1,The events of the past year have demonstrated the critical role central banks can and must play in extraordinary times when market stress and dysfunction threaten to spill over into the economy.,0.5,"Williams highlights the Fed's significant interventions to support market functioning and assures their effectiveness in preventing severe economic setbacks. His emphasis on maintaining low rates supports a somewhat dovish stance, likely indicating a preference to 'Hold' the current policy rate to sustain recovery.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the 2020 US Treasury Market Conference, 29 September 2020.",Fed,https://www.bis.org/review/r201001e.htm,#414487FF,2020-09-29
2020-09-02,John C Williams,0.25,0.188,0.312,0.3,0.1,A new chapter for the FOMC monetary policy framework,0.062,0.1,0.3,Hold,0.72,0.067,1,The new framework statement directly and effectively addresses the problems caused by a low neutral rate and persistently low inflation.,0.5,"The speech emphasizes a framework adjustment that suggests monetary policy tolerance for temporary inflation overshooting to address consistently below-target inflation. This reflects a somewhat dovish stance, indicating no immediate urgency to raise rates, and aligns with maintaining the current low policy rate to support economic recovery and employment.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the ""In Conversation: New York Fed Presidents on COVID-19"" Bretton Woods Committee Webinar, 2 September 2020.",Fed,https://www.bis.org/review/r200903b.htm,#414487FF,2020-09-02
2020-07-16,John C Williams,0.155,0.009,0.301,0.5,0,"Rising to the challenge - central banking, financial markets, and the pandemic",0.146,0,0.5,Hold,0.775,0.049,1,"In the first half of March, as the pandemic began to unfold in the U.S., the Federal Open Market Committee (FOMC) lowered the federal funds rate effectively to zero.",0.3,"The speech discusses the extensive measures taken by the Federal Reserve to provide liquidity and support the economy during the pandemic, emphasizing a continuation of low rates and expansive monetary policy to counteract economic disruption. The likelihood of a rate cut is low given rates are already near zero, suggesting holding the current policy rate is the probable action.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the 16th Meeting of the Financial Research Advisory Committee for the Treasury's Office of Financial Research, 16 July 2020.",Fed,https://www.bis.org/review/r200813d.htm,#414487FF,2020-07-16
2020-06-30,John C Williams,0.17,0.107,0.233,0.25,0.1,A different kind of recession,0.063,0.1,0.25,Hold,0.8,0.053,1,The FOMC has indicated that it expects to keep interest rates at this level until it is confident that the economy has weathered recent events and is on track to achieve its maximum employment and price stability goals.,0.5,"Given the severe economic downturn and uncertainty due to the pandemic, the speech emphasizes continued low interest rates and substantial Fed interventions to stabilize the economy, exhibiting a dovish stance. While acknowledging some signs of recovery, the focus remains on supporting the economy, making a rate cut unlikely but a hold very probable.","Remarks (via videoconference) by Mr John C Williams, President and Chief Executive Officer of the Federal Reserve Bank of New York, at the Institute of International Finance: Central Banking in the Age of COVID-19 Summit, 30 June 2020.",Fed,http://www.bis.org/review/r200813e.htm,#414487FF,2020-06-30
